location,date,population,new_cases,new_cases_per_million,new_deaths,new_deaths_per_million,new_tests,people_fully_vaccinated_per_hundred
Argentina,2021-01-01,45605823,4080,89.462,74,1.623,9852,0
Argentina,2021-01-02,45605823,5240,114.898,56,1.228,29920,0
Argentina,2021-01-03,45605823,5884,129.019,107,2.346,25558,0
Argentina,2021-01-04,45605823,8222,180.284,152,3.333,50014,0
Argentina,2021-01-05,45605823,13790,302.374,151,3.311,54021,0
Argentina,2021-01-06,45605823,13441,294.721,191,4.188,55813,0
Argentina,2021-01-07,45605823,13835,303.36,146,3.201,53768,0
Argentina,2021-01-08,45605823,13346,292.638,151,3.311,54017,0
Argentina,2021-01-09,45605823,11057,242.447,144,3.157,43671,0
Argentina,2021-01-10,45605823,7808,171.206,78,1.71,26196,0
Argentina,2021-01-11,45605823,8704,190.853,159,3.486,50924,0
Argentina,2021-01-12,45605823,13783,302.22,194,4.254,52362,0
Argentina,2021-01-13,45605823,12725,279.021,135,2.96,54460,0
Argentina,2021-01-14,45605823,13286,291.322,142,3.114,51613,0
Argentina,2021-01-15,45605823,12332,270.404,102,2.237,56113,0
Argentina,2021-01-16,45605823,8932,195.852,68,1.491,45373,0
Argentina,2021-01-17,45605823,7264,159.278,112,2.456,30719,0
Argentina,2021-01-18,45605823,8185,179.473,425,9.319,54530,0
Argentina,2021-01-19,45605823,12141,266.216,234,5.131,57217,0
Argentina,2021-01-20,45605823,12112,265.58,150,3.289,52546,0.01
Argentina,2021-01-21,45605823,11396,249.88,139,3.048,49903,0.04
Argentina,2021-01-22,45605823,10753,235.781,220,4.824,49296,0.06
Argentina,2021-01-23,45605823,8362,183.354,162,3.552,34842,0.06
Argentina,2021-01-24,45605823,5031,110.315,90,1.973,24029,0.07
Argentina,2021-01-25,45605823,7578,166.163,207,4.539,48107,0.07
Argentina,2021-01-26,45605823,10409,228.238,219,4.802,48696,0.09
Argentina,2021-01-27,45605823,10843,237.755,182,3.991,51033,0.1
Argentina,2021-01-28,45605823,9471,207.671,166,3.64,48659,0.11
Argentina,2021-01-29,45605823,9838,215.718,174,3.815,48741,0.14
Argentina,2021-01-30,45605823,6902,151.34,156,3.421,42428,0.19
Argentina,2021-01-31,45605823,4975,109.087,43,0.943,36717,0
Argentina,2021-02-01,45605823,6614,145.025,275,6.03,54196,0.21
Argentina,2021-02-02,45605823,9695,212.583,177,3.881,58875,0
Argentina,2021-02-03,45605823,9196,201.641,113,2.478,54605,0.25
Argentina,2021-02-04,45605823,8891,194.953,161,3.53,48053,0.32
Argentina,2021-02-05,45605823,8374,183.617,285,6.249,47030,0
Argentina,2021-02-06,45605823,6680,146.473,125,2.741,34415,0.36
Argentina,2021-02-07,45605823,3658,80.209,61,1.338,25150,0.4
Argentina,2021-02-08,45605823,5154,113.012,227,4.977,50105,0.41
Argentina,2021-02-09,45605823,7794,170.899,168,3.684,52264,0.42
Argentina,2021-02-10,45605823,7739,169.693,108,2.368,51037,0.43
Argentina,2021-02-11,45605823,7311,160.308,200,4.385,52708,0.46
Argentina,2021-02-12,45605823,7151,156.8,155,3.399,51600,0.49
Argentina,2021-02-13,45605823,6057,132.812,159,3.486,40007,0.51
Argentina,2021-02-14,45605823,4245,93.08,48,1.052,26015,0.52
Argentina,2021-02-15,45605823,3259,71.46,91,1.995,35348,0.52
Argentina,2021-02-16,45605823,4003,87.774,105,2.302,37852,0.52
Argentina,2021-02-17,45605823,6064,132.965,184,4.035,56268,0.52
Argentina,2021-02-18,45605823,7671,168.202,241,5.284,53859,0.53
Argentina,2021-02-19,45605823,7886,172.917,143,3.136,56394,0.56
Argentina,2021-02-20,45605823,5944,130.334,122,2.675,38996,0.57
Argentina,2021-02-21,45605823,3709,81.327,76,1.666,26437,0.58
Argentina,2021-02-22,45605823,5417,118.779,161,3.53,50538,0.58
Argentina,2021-02-23,45605823,7477,163.948,151,3.311,48470,0.58
Argentina,2021-02-24,45605823,8183,179.429,140,3.07,50320,0.59
Argentina,2021-02-25,45605823,8234,180.547,145,3.179,43630,0.59
Argentina,2021-02-26,45605823,5083,111.455,92,2.017,47017,0.62
Argentina,2021-02-27,45605823,5469,119.919,59,1.294,35210,0.64
Argentina,2021-02-28,45605823,3168,69.465,19,0.417,27992,0.64
Argentina,2021-03-01,45605823,4658,102.136,112,2.456,44674,0.64
Argentina,2021-03-02,45605823,6653,145.88,115,2.522,46174,0.66
Argentina,2021-03-03,45605823,7855,172.237,261,5.723,46195,0.67
Argentina,2021-03-04,45605823,7432,162.962,191,4.188,43841,0.68
Argentina,2021-03-05,45605823,7891,173.026,140,3.07,44822,0.72
Argentina,2021-03-06,45605823,4860,106.565,86,1.886,31485,0
Argentina,2021-03-07,45605823,2922,64.071,10,0.219,21079,0.75
Argentina,2021-03-08,45605823,5058,110.907,241,5.284,43166,0.75
Argentina,2021-03-09,45605823,7307,160.221,131,2.872,46784,0.76
Argentina,2021-03-10,45605823,7693,168.685,107,2.346,47823,0.77
Argentina,2021-03-11,45605823,8204,179.889,134,2.938,44591,0.78
Argentina,2021-03-12,45605823,7849,172.105,85,1.864,50936,0.83
Argentina,2021-03-13,45605823,6278,137.658,68,1.491,35863,0.92
Argentina,2021-03-14,45605823,3697,81.064,24,0.526,23687,0.98
Argentina,2021-03-15,45605823,6164,135.158,166,3.64,48438,0.99
Argentina,2021-03-16,45605823,8235,180.569,200,4.385,53135,1.05
Argentina,2021-03-17,45605823,8304,182.082,195,4.276,50214,1.09
Argentina,2021-03-18,45605823,8328,182.608,155,3.399,54434,1.13
Argentina,2021-03-19,45605823,8160,178.925,90,1.973,50721,1.22
Argentina,2021-03-20,45605823,6826,149.674,41,0.899,34971,1.3
Argentina,2021-03-21,45605823,4032,88.41,28,0.614,22337,1.33
Argentina,2021-03-22,45605823,6401,140.355,126,2.763,54348,1.33
Argentina,2021-03-23,45605823,9405,206.224,152,3.333,54814,1.36
Argentina,2021-03-24,45605823,8300,181.994,123,2.697,34936,1.39
Argentina,2021-03-25,45605823,8238,180.635,146,3.201,58333,1.39
Argentina,2021-03-26,45605823,12936,283.648,143,3.136,65943,1.43
Argentina,2021-03-27,45605823,10338,226.682,133,2.916,45608,1.45
Argentina,2021-03-28,45605823,7208,158.05,81,1.776,33658,1.46
Argentina,2021-03-29,45605823,14014,307.285,162,3.552,62943,1.46
Argentina,2021-03-30,45605823,10154,222.647,125,2.741,72292,1.47
Argentina,2021-03-31,45605823,16056,352.06,122,2.675,69292,1.49
Argentina,2021-04-01,45605823,14430,316.407,83,1.82,60749,1.49
Argentina,2021-04-02,45605823,9902,217.121,82,1.798,43365,1.5
Argentina,2021-04-03,45605823,10384,227.69,83,1.82,49337,1.5
Argentina,2021-04-04,45605823,9955,218.284,93,2.039,40100,1.5
Argentina,2021-04-05,45605823,13667,299.677,272,5.964,83478,1.5
Argentina,2021-04-06,45605823,20870,457.617,163,3.574,91036,1.52
Argentina,2021-04-07,45605823,22039,483.25,198,4.342,98273,1.54
Argentina,2021-04-08,45605823,23683,519.298,290,6.359,100152,1.55
Argentina,2021-04-09,45605823,24130,529.099,228,4.999,97313,1.56
Argentina,2021-04-10,45605823,19419,425.801,297,6.512,75993,1.58
Argentina,2021-04-11,45605823,15262,334.65,132,2.894,53716,1.59
